"Channel"           "Time, ns"          "Count"             "Error"             "Fit"               "Chi^2"             
2372                4.437072e-01        1.200000e+01        3.316625e+00        1.052708e+01        1.052694e+01        
2373                4.498698e-01        1.200000e+01        3.316625e+00        1.052726e+01        1.052699e+01        
2374                4.560324e-01        1.100000e+01        3.162278e+00        1.052745e+01        1.052704e+01        
2375                4.621950e-01        1.200000e+01        3.316625e+00        1.052767e+01        1.052711e+01        
2376                4.683576e-01        1.600000e+01        3.872983e+00        1.052790e+01        1.052718e+01        
2377                4.745202e-01        1.300000e+01        3.464102e+00        1.052815e+01        1.052725e+01        
2378                4.806828e-01        1.300000e+01        3.464102e+00        1.052842e+01        1.052734e+01        
2379                4.868454e-01        8.000000e+00        2.645751e+00        1.052871e+01        1.052743e+01        
2380                4.930080e-01        1.400000e+01        3.605551e+00        1.052903e+01        1.052754e+01        
2381                4.991706e-01        1.000000e+01        3.000000e+00        1.052937e+01        1.052765e+01        
2382                5.053332e-01        1.400000e+01        3.605551e+00        1.052974e+01        1.052777e+01        
2383                5.114958e-01        1.600000e+01        3.872983e+00        1.053014e+01        1.052791e+01        
2384                5.176584e-01        1.200000e+01        3.316625e+00        1.053057e+01        1.052806e+01        
2385                5.238210e-01        1.600000e+01        3.872983e+00        1.053103e+01        1.052823e+01        
2386                5.299836e-01        1.100000e+01        3.162278e+00        1.053154e+01        1.052841e+01        
2387                5.361462e-01        1.700000e+01        4.000000e+00        1.053208e+01        1.052860e+01        
2388                5.423088e-01        1.400000e+01        3.605551e+00        1.053267e+01        1.052881e+01        
2389                5.484714e-01        1.700000e+01        4.000000e+00        1.053330e+01        1.052904e+01        
2390                5.546340e-01        9.000000e+00        2.828427e+00        1.053398e+01        1.052930e+01        
2391                5.607966e-01        6.000000e+00        2.236068e+00        1.053472e+01        1.052957e+01        
2392                5.669592e-01        1.200000e+01        3.316625e+00        1.053551e+01        1.052986e+01        
2393                5.731218e-01        1.200000e+01        3.316625e+00        1.053637e+01        1.053019e+01        
2394                5.792844e-01        1.200000e+01        3.316625e+00        1.053729e+01        1.053053e+01        
2395                5.854470e-01        1.400000e+01        3.605551e+00        1.053828e+01        1.053091e+01        
2396                5.916096e-01        1.800000e+01        4.123106e+00        1.053935e+01        1.053132e+01        
2397                5.977722e-01        1.200000e+01        3.316625e+00        1.054050e+01        1.053176e+01        
2398                6.039348e-01        8.000000e+00        2.645751e+00        1.054174e+01        1.053224e+01        
2399                6.100974e-01        1.500000e+01        3.741657e+00        1.054307e+01        1.053275e+01        
2400                6.162600e-01        1.700000e+01        4.000000e+00        1.054450e+01        1.053331e+01        
2401                6.224226e-01        1.500000e+01        3.741657e+00        1.054603e+01        1.053391e+01        
2402                6.285852e-01        1.300000e+01        3.464102e+00        1.054769e+01        1.053455e+01        
2403                6.347478e-01        1.600000e+01        3.872983e+00        1.054946e+01        1.053525e+01        
