"Channel"           "Time, ns"          "Count"             "Error"             "Resolution"        "Fit"               "Chi^2"             
2300                0                   10                  3                   11.375              11.3787             -1.16137            
2301                0.0061626           7                   2.44949             11.375              11.3787             0.181941            
2302                0.0123252           12                  3.31662             11.375              11.3786             -1.88577            
2303                0.0184878           5                   2                   11.375              11.3786             1.1677              
2304                0.0246504           16                  3.87298             11.375              11.3785             1.57548             
2305                0.030813            18                  4.12311             11.375              11.3784             -0.85634            
2306                0.0369756           8                   2.64575             11.375              11.3784             0.945759            
2307                0.0431382           15                  3.74166             11.375              11.3783             0.182043            
2308                0.0493008           12                  3.31662             11.375              11.3783             1.16776             
2309                0.0554634           16                  3.87298             11.375              11.3782             -0.322987           
2310                0.061626            10                  3                   11.375              11.3782             -0.856274           
2311                0.0677886           8                   2.64575             11.375              11.3781             0.7093              
2312                0.0739512           14                  3.60555             11.375              11.3781             -0.0855927          
2313                0.0801138           11                  3.16228             11.375              11.378              0.455797            
2314                0.0862764           13                  3.4641              11.375              11.378              0.70934             
2315                0.092439            14                  3.60555             11.375              11.3779             -0.578531           
2316                0.0986016           9                   2.82843             11.375              11.3779             -0.0855501          
2317                0.104764            11                  3.16228             11.375              11.3778             -1.16113            
2318                0.110927            7                   2.44949             11.375              11.3778             -0.322888           
2319                0.117089            10                  3                   11.375              11.3777             -0.0855201          
2320                0.123252            11                  3.16228             11.375              11.3777             0.455885            
2321                0.129415            13                  3.4641              11.375              11.3777             -0.322858           
2322                0.135577            10                  3                   11.375              11.3776             0.455908            
2323                0.14174             13                  3.4641              11.375              11.3776             -0.856125           
2324                0.147902            8                   2.64575             11.375              11.3775             0.709456            
2325                0.154065            14                  3.60555             11.375              11.3775             -0.0854648          
2326                0.160228            11                  3.16228             11.375              11.3775             -0.0854562          
2327                0.16639             11                  3.16228             11.375              11.3774             0.946006            
2328                0.172553            15                  3.74166             11.375              11.3774             -0.0854395          
2329                0.178715            11                  3.16228             11.375              11.3773             -0.578392           
2330                0.184878            9                   2.82843             11.3751             11.3773             0.455993            
2331                0.191041            13                  3.4641              11.3751             11.3773             0.456003            
2332                0.197203            13                  3.4641              11.3751             11.3772             -0.578367           
2333                0.203366            9                   2.82843             11.3751             11.3772             -0.322754           
2334                0.209528            10                  3                   11.3751             11.3772             1.16804             
2335                0.215691            16                  3.87298             11.3751             11.3771             -1.50046            
2336                0.221854            6                   2.23607             11.3751             11.3771             0.456047            
2337                0.228016            13                  3.4641              11.3751             11.3771             -0.322725           
2338                0.234179            10                  3                   11.3751             11.3771             0.456064            
2339                0.240341            13                  3.4641              11.3751             11.377              -1.16092            
2340                0.246504            7                   2.44949             11.3751             11.377              -0.855982           
2341                0.252667            8                   2.64575             11.3752             11.377              0.456086            
2342                0.258829            13                  3.4641              11.3752             11.3769             0.456093            
2343                0.264992            13                  3.4641              11.3752             11.3769             -0.0853378          
2344                0.271154            11                  3.16228             11.3752             11.3769             1.37748             
2345                0.277317            17                  4                   11.3752             11.3769             0.946145            
2346                0.28348             15                  3.74166             11.3752             11.3769             -0.855947           
2347                0.289642            8                   2.64575             11.3753             11.3768             -1.16087            
2348                0.295805            7                   2.44949             11.3753             11.3768             -0.0853149          
2349                0.301967            11                  3.16228             11.3753             11.3768             -2.33239            
2350                0.30813             4                   1.73205             11.3753             11.3768             1.57588             
2351                0.314293            18                  4.12311             11.3754             11.3768             -0.855926           
2352                0.320455            8                   2.64575             11.3754             11.3768             0.946174            
2353                0.326618            15                  3.74166             11.3754             11.3767             -0.0852998          
2354                0.33278             11                  3.16228             11.3755             11.3767             0.946179            
2355                0.338943            15                  3.74166             11.3755             11.3767             0.709668            
2356                0.345106            14                  3.60555             11.3756             11.3767             -0.855916           
2357                0.351268            8                   2.64575             11.3756             11.3767             -1.88522            
2358                0.357431            5                   2                   11.3757             11.3767             -0.322644           
