"Channel"           "Time, ns"          "Count"             "Error"             "Resolution"        "Fit"               "Chi^2"             
2300                0                   9                   2.82843             11.375              11.3787             0.945661            
2301                0.0061626           15                  3.74166             11.375              11.3787             0.181931            
2302                0.0123252           12                  3.31662             11.375              11.3787             -0.323086           
2303                0.0184878           10                  3                   11.375              11.3786             -1.50085            
2304                0.0246504           6                   2.23607             11.375              11.3785             -1.16131            
2305                0.030813            7                   2.44949             11.375              11.3785             -0.856348           
2306                0.0369756           8                   2.64575             11.375              11.3784             0.455689            
2307                0.0431382           13                  3.4641              11.375              11.3784             -0.323019           
2308                0.0493008           10                  3                   11.375              11.3783             -0.578621           
2309                0.0554634           9                   2.82843             11.375              11.3783             0.709266            
2310                0.061626            14                  3.60555             11.375              11.3782             -0.322982           
2311                0.0677886           10                  3                   11.375              11.3781             0.182095            
2312                0.0739512           12                  3.31662             11.375              11.3781             0.709306            
2313                0.0801138           14                  3.60555             11.375              11.378              -0.322947           
2314                0.0862764           10                  3                   11.375              11.378              -0.322936           
2315                0.092439            10                  3                   11.375              11.378              0.182151            
2316                0.0986016           12                  3.31662             11.375              11.3779             -0.322914           
2317                0.104764            10                  3                   11.375              11.3779             -0.0855455          
2318                0.110927            11                  3.16228             11.375              11.3778             -0.322893           
2319                0.117089            10                  3                   11.375              11.3778             0.709394            
2320                0.123252            14                  3.60555             11.375              11.3777             -0.0855158          
2321                0.129415            11                  3.16228             11.375              11.3777             1.16791             
2322                0.135577            16                  3.87298             11.375              11.3776             1.16792             
2323                0.14174             16                  3.87298             11.375              11.3776             -0.578452           
2324                0.147902            9                   2.82843             11.375              11.3776             1.37732             
2325                0.154065            17                  4                   11.375              11.3775             -0.856111           
2326                0.160228            8                   2.64575             11.375              11.3775             -1.88544            
2327                0.16639             5                   2                   11.375              11.3774             0.709481            
2328                0.172553            14                  3.60555             11.375              11.3774             -0.578406           
2329                0.178715            9                   2.82843             11.375              11.3774             -0.0854358          
2330                0.184878            11                  3.16228             11.3751             11.3773             0.709511            
2331                0.191041            14                  3.60555             11.3751             11.3773             -0.322774           
2332                0.197203            10                  3                   11.3751             11.3773             1.16802             
2333                0.203366            16                  3.87298             11.3751             11.3772             -0.0854048          
2334                0.209528            11                  3.16228             11.3751             11.3772             0.709547            
2335                0.215691            14                  3.60555             11.3751             11.3772             -0.322743           
2336                0.221854            10                  3                   11.3751             11.3771             -0.856014           
2337                0.228016            8                   2.64575             11.3751             11.3771             1.37743             
2338                0.234179            17                  4                   11.3751             11.3771             0.456059            
2339                0.240341            13                  3.4641              11.3751             11.377              0.709587            
2340                0.246504            14                  3.60555             11.3751             11.377              0.182421            
2341                0.252667            12                  3.31662             11.3751             11.377              -0.578307           
2342                0.258829            9                   2.82843             11.3752             11.377              -0.322697           
2343                0.264992            10                  3                   11.3752             11.3769             -0.322692           
2344                0.271154            10                  3                   11.3752             11.3769             -0.322686           
2345                0.277317            10                  3                   11.3752             11.3769             -0.578283           
2346                0.28348             9                   2.82843             11.3752             11.3769             -0.0853256          
2347                0.289642            11                  3.16228             11.3752             11.3768             0.45612             
2348                0.295805            13                  3.4641              11.3753             11.3768             0.456125            
2349                0.301967            13                  3.4641              11.3753             11.3768             0.182479            
2350                0.30813             12                  3.31662             11.3753             11.3768             0.946166            
2351                0.314293            15                  3.74166             11.3754             11.3768             -0.578258           
2352                0.320455            9                   2.82843             11.3754             11.3768             -0.0853033          
2353                0.326618            11                  3.16228             11.3754             11.3767             1.57589             
2354                0.33278             18                  4.12311             11.3755             11.3767             0.709665            
2355                0.338943            14                  3.60555             11.3755             11.3767             0.45615             
2356                0.345106            13                  3.4641              11.3756             11.3767             -0.578246           
2357                0.351268            9                   2.82843             11.3756             11.3767             -0.578245           
2358                0.357431            9                   2.82843             11.3757             11.3767             0.456153            
2359                0.363593            13                  3.4641              11.3757             11.3767             0.70967             
2360                0.369756            14                  3.60555             11.3758             11.3767             0.709669            
2361                0.375919            14                  3.60555             11.3759             11.3767             1.37752             
2362                0.382081            17                  4                   11.3759             11.3767             -0.322648           
2363                0.388244            10                  3                   11.376              11.3767             -0.322651           
2364                0.394406            10                  3                   11.3761             11.3767             0.946171            
2365                0.400569            15                  3.74166             11.3762             11.3768             0.709652            
2366                0.406732            14                  3.60555             11.3763             11.3768             0.182476            
2367                0.412894            12                  3.31662             11.3764             11.3768             -0.0853211          
