"Channel"           "Time, ns"          "Count"             "Error"             "Resolution"        "Fit"               "Chi^2"             
2300                0                   12                  3.31662             10.825              10.8287             0.0524727           
2301                0.0061626           11                  3.16228             10.825              10.8286             -0.716983           
2302                0.0123252           8                   2.64575             10.825              10.8286             -1.01545            
2303                0.0184878           7                   2.44949             10.825              10.8285             -0.71695            
2304                0.0246504           8                   2.64575             10.825              10.8285             0.857997            
2305                0.030813            14                  3.60555             10.825              10.8284             0.858012            
2306                0.0369756           14                  3.60555             10.825              10.8284             0.610256            
2307                0.0431382           13                  3.4641              10.825              10.8283             -0.716895           
2308                0.0493008           8                   2.64575             10.825              10.8283             -1.34729            
2309                0.0554634           6                   2.23607             10.825              10.8282             -1.72304            
2310                0.061626            5                   2                   10.825              10.8281             1.30676             
2311                0.0677886           16                  3.87298             10.825              10.8281             0.343151            
2312                0.0739512           12                  3.31662             10.825              10.828              -1.34723            
2313                0.0801138           6                   2.23607             10.825              10.828              0.0526854           
2314                0.0862764           11                  3.16228             10.825              10.828              0.858135            
2315                0.092439            14                  3.60555             10.825              10.8279             -1.01527            
2316                0.0986016           7                   2.44949             10.825              10.8279             1.30683             
2317                0.104764            16                  3.87298             10.825              10.8278             0.858172            
2318                0.110927            14                  3.60555             10.825              10.8278             -0.44468            
2319                0.117089            9                   2.82843             10.825              10.8277             -1.34714            
2320                0.123252            6                   2.23607             10.825              10.8277             0.610443            
2321                0.129415            13                  3.4641              10.825              10.8276             0.858218            
2322                0.135577            14                  3.60555             10.825              10.8276             1.3069              
2323                0.14174             16                  3.87298             10.825              10.8276             1.30691             
2324                0.147902            16                  3.87298             10.825              10.8275             -0.444619           
2325                0.154065            9                   2.82843             10.825              10.8275             0.34333             
2326                0.160228            12                  3.31662             10.825              10.8274             0.61051             
2327                0.16639             13                  3.4641              10.825              10.8274             -1.34705            
2328                0.172553            6                   2.23607             10.825              10.8274             -1.7228             
2329                0.178715            5                   2                   10.825              10.8273             -1.34703            
2330                0.184878            6                   2.23607             10.825              10.8273             0.0528988           
2331                0.191041            11                  3.16228             10.825              10.8273             2.23784             
2332                0.197203            21                  4.47214             10.8251             10.8272             -0.444549           
2333                0.203366            9                   2.82843             10.8251             10.8272             0.343413            
2334                0.209528            12                  3.31662             10.8251             10.8272             -0.716609           
2335                0.215691            8                   2.64575             10.8251             10.8271             0.343431            
2336                0.221854            12                  3.31662             10.8251             10.8271             -0.444518           
2337                0.228016            9                   2.82843             10.8251             10.8271             -0.716585           
2338                0.234179            8                   2.64575             10.8251             10.827              1.30704             
2339                0.240341            16                  3.87298             10.8251             10.827              -1.34695            
2340                0.246504            6                   2.23607             10.8251             10.827              0.0529931           
2341                0.252667            11                  3.16228             10.8251             10.8269             0.343481            
2342                0.258829            12                  3.31662             10.8251             10.8269             -1.01502            
2343                0.264992            7                   2.44949             10.8252             10.8269             0.343496            
2344                0.271154            12                  3.31662             10.8252             10.8269             -0.193779           
2345                0.277317            10                  3                   10.8252             10.8268             -1.34691            
2346                0.28348             6                   2.23607             10.8252             10.8268             0.343515            
2347                0.289642            12                  3.31662             10.8252             10.8268             0.0530433           
2348                0.295805            11                  3.16228             10.8252             10.8268             1.51224             
2349                0.301967            17                  4                   10.8253             10.8268             1.3071              
2350                0.30813             16                  3.87298             10.8253             10.8267             0.0530598           
2351                0.314293            11                  3.16228             10.8253             10.8267             -0.193748           
2352                0.320455            10                  3                   10.8253             10.8267             0.610707            
2353                0.326618            13                  3.4641              10.8254             10.8267             1.30712             
