"Channel"           "Time, ns"          "Count"             "Error"             "Resolution"        "Fit"               "Chi^2"             
2398                0.603935            12                  3.31662             11.3693             11.3582             0.187736            
2399                0.610097            12                  3.31662             11.3708             11.3588             -0.574052           
2400                0.61626             9                   2.82843             11.3724             11.3595             -0.57422            
2401                0.622423            9                   2.82843             11.3742             11.3602             1.38139             
2402                0.628585            17                  4                   11.3761             11.3609             -0.852113           
2403                0.634748            8                   2.64575             11.3781             11.3617             0.713494            
2404                0.64091             14                  3.60555             11.3803             11.3626             0.459864            
2405                0.647073            13                  3.4641              11.3826             11.3635             1.38051             
2406                0.653236            17                  4                   11.3851             11.3645             -0.082775           
2407                0.659398            11                  3.16228             11.3878             11.3656             0.458954            
2408                0.665561            13                  3.4641              11.3907             11.3667             -0.853703           
2409                0.671723            8                   2.64575             11.3938             11.368              -0.320913           
2410                0.677886            10                  3                   11.3971             11.3693             -1.15927            
2411                0.684049            7                   2.44949             11.4007             11.3708             1.16926             
2412                0.690211            16                  3.87298             11.4045             11.3723             -0.0846721          
2413                0.696374            11                  3.16228             11.4085             11.374              -0.578009           
2414                0.702536            9                   2.82843             11.4129             11.3757             0.182228            
2415                0.708699            12                  3.31662             11.4175             11.3776             -0.578971           
2416                0.714862            9                   2.82843             11.4225             11.3797             0.944831            
2417                0.721024            15                  3.74166             11.4279             11.3819             -0.324408           
2418                0.727187            10                  3                   11.4336             11.3842             -1.88819            
2419                0.733349            5                   2                   11.4396             11.3868             -0.0881815          
2420                0.739512            11                  3.16228             11.4462             11.3895             -1.16499            
2421                0.745675            7                   2.44949             11.4531             11.3923             -0.582803           
2422                0.751837            9                   2.82843             11.4605             11.3954             1.37212             
2423                0.758               17                  4                   11.4685             11.3987             -0.0910881          
2424                0.764162            11                  3.16228             11.4769             11.4023             -0.585392           
2425                0.770325            9                   2.82843             11.4859             11.4061             -0.0928625          
2426                0.776488            11                  3.16228             11.4956             11.4101             -0.0938436          
2427                0.78265             11                  3.16228             11.5058             11.4145             -0.588556           
2428                0.788813            9                   2.82843             11.5168             11.4191             0.933825            
2429                0.794975            15                  3.74166             11.5284             11.424              0.695441            
2430                0.801138            14                  3.60555             11.5409             11.4293             0.439791            
2431                0.807301            13                  3.4641              11.5541             11.4349             -0.872199           
2432                0.813463            8                   2.64575             11.5682             11.4409             -0.595435           
2433                0.819626            9                   2.82843             11.5832             11.4474             0.15981             
2434                0.825788            12                  3.31662             11.5991             11.4542             0.157676            
2435                0.831951            12                  3.31662             11.6161             11.4615             0.430141            
2436                0.838114            13                  3.4641              11.6341             11.4693             0.427813            
2437                0.844276            13                  3.4641              11.6533             11.4776             1.14044             
2438                0.850439            16                  3.87298             11.6737             11.4864             0.147634            
2439                0.856601            12                  3.31662             11.6953             11.4958             -0.609652           
2440                0.862764            9                   2.82843             11.7183             11.5058             0.416883            
2441                0.868927            13                  3.4641              11.7428             11.5165             -0.119502           
2442                0.875089            11                  3.16228             11.7687             11.5278             -0.122232           
2443                0.881252            11                  3.16228             11.7962             11.5398             1.12369             
2444                0.887414            16                  3.87298             11.8254             11.5527             0.658379            
2445                0.893577            14                  3.60555             11.8563             11.5663             -0.131506           
2446                0.89974             11                  3.16228             11.8892             11.5808             2.06868             
2447                0.905902            21                  4.47214             11.9239             11.5962             0.11345             
2448                0.912065            12                  3.31662             11.9608             11.6125             2.06126             
2449                0.918227            21                  4.47214             11.9998             11.6299             -0.146797           
2450                0.92439             11                  3.16228             12.0412             11.6483             0.630892            
2451                0.930553            14                  3.60555             12.085              11.6679             0.0911628           
2452                0.936715            12                  3.31662             12.1313             11.6887             0.0847152           
2453                0.942878            12                  3.31662             12.1803             11.7107             0.613012            
2454                0.94904             14                  3.60555             12.2321             11.734              1.85846             
2455                0.955203            20                  4.3589              12.2869             11.7587             -0.418326           
2456                0.961366            10                  3                   12.3449             11.785              0.0548295           
2457                0.967528            12                  3.31662             12.4061             11.8127             0.583749            
2458                0.973691            14                  3.60555             12.4708             11.8422             0.575328            
2459                0.979853            14                  3.60555             12.5391             11.8733             1.03434             
2460                0.986016            16                  3.87298             12.6112             11.9063             1.99279             
2461                0.992179            21                  4.47214             12.6873             11.9411             1.98468             
2462                0.998341            21                  4.47214             12.7676             11.978              1.42353             
2463                1.0045              18                  4.12311             12.8523             12.0171             2.752               
2464                1.01067             26                  5                   12.9416             12.0583             1.95742             
2465                1.01683             21                  4.47214             13.0358             12.1019             -0.259926           
2466                1.02299             11                  3.16228             13.135              12.148              -0.270942           
2467                1.02915             11                  3.16228             13.2395             12.1966             0.947994            
2468                1.03532             16                  3.87298             13.3496             12.248              -0.0662857          
2469                1.04148             12                  3.31662             13.4655             12.3023             0.17998             
2470                1.04764             13                  3.4641              13.5875             12.3595             1.5231              
2471                1.0538              19                  4.24264             13.7159             12.4199             0.888481            
2472                1.05997             16                  3.87298             13.851              12.4836             1.29656             
2473                1.06613             18                  4.12311             13.993              12.5507             2.18003             
2474                1.07229             23                  4.69042             14.1423             12.6215             -0.152666           
2475                1.07845             12                  3.31662             14.2992             12.6961             -0.401829           
2476                1.08462             11                  3.16228             14.464              12.7747             1.79122             
2477                1.09078             21                  4.47214             14.6371             12.8575             -0.959696           
2478                1.09694             9                   2.82843             14.8189             12.9445             1.57038             
2479                1.10311             20                  4.3589              15.0097             13.0362             0.947339            
2480                1.10927             17                  4                   15.2099             13.1328             0.922481            
2481                1.11543             17                  4                   15.42               13.2343             0.671829            
2482                1.12159             16                  3.87298             15.6402             13.341              0.40393             
2483                1.12776             15                  3.74166             15.8711             13.4532             1.05377             
2484                1.13392             18                  4.12311             16.1131             13.5711             1.02429             
2485                1.14008             18                  4.12311             16.3667             13.695              1.19782             
2486                1.14624             19                  4.24264             16.6323             13.8251             0.010321            
2487                1.15241             14                  3.60555             16.9103             13.9618             1.32931             
2488                1.15857             20                  4.3589              17.2014             14.1052             -0.267327           
2489                1.16473             13                  3.4641              17.506              14.2558             1.25977             
2490                1.17089             20                  4.3589              17.8246             14.4136             -0.33618            
2491                1.17706             13                  3.4641              18.1578             14.5792             0.550456            
2492                1.18322             17                  4                   18.5061             14.7529             0.505884            
2493                1.18938             17                  4                   18.8702             14.9349             -0.0253366          
2494                1.19554             15                  3.74166             19.2505             15.1256             1.24833             
2495                1.20171             21                  4.47214             19.6478             15.3253             0.586615            
2496                1.20787             18                  4.12311             20.0626             15.5345             2.32836             
2497                1.21403             28                  5.19615             20.4956             15.7535             1.474               
2498                1.22019             23                  4.69042             20.9475             15.9827             0.851837            
2499                1.22636             20                  4.3589              21.4188             16.2226             -1.51709            
2500                1.23252             10                  3                   21.9104             16.4733             1.49331             
2501                1.23868             24                  4.79583             22.4229             16.7356             1.93469             
2502                1.24485             27                  5.09902             22.957              17.0097             0.609728            
2503                1.25101             20                  4.3589              23.5136             17.2962             1.65897             
2504                1.25717             26                  5                   24.0933             17.5956             -1.04483            
2505                1.26333             13                  3.4641              24.6969             17.9082             1.00097             
2506                1.2695              23                  4.69042             25.3254             18.2347             -0.30272            
2507                1.27566             17                  4                   25.9794             18.5753             0.455186            
2508                1.28182             21                  4.47214             26.6599             18.9308             1.14738             
2509                1.28798             25                  4.89898             27.3677             19.3017             -0.317327           
2510                1.29415             18                  4.12311             28.1038             19.6885             1.96983             
2511                1.30031             31                  5.47723             28.8691             20.0919             0.522559            
2512                1.30647             23                  4.69042             29.6645             20.5122             0.430525            
2513                1.31263             23                  4.69042             30.4912             20.9504             0.533098            
2514                1.3188              24                  4.79583             31.35               21.4067             0.435377            
2515                1.32496             24                  4.79583             32.2422             21.8821             -0.428607           
2516                1.33112             20                  4.3589              33.1689             22.3773             0.0225643           
2517                1.33728             23                  4.69042             34.1314             22.8926             1.6746              
2518                1.34345             33                  5.65685             35.1308             23.4291             0.583436            
2519                1.34961             27                  5.09902             36.1686             23.9873             -0.267368           
2520                1.35577             23                  4.69042             37.2464             24.5682             0.886343            
2521                1.36193             30                  5.38516             38.3656             25.1725             -0.301842           
2522                1.3681              24                  4.79583             39.528              25.8011             -0.239855           
2523                1.37426             25                  4.89898             40.7355             26.4551             -0.0215611          
2524                1.38042             27                  5.09902             41.9903             27.135              0.396156            
2525                1.38658             30                  5.38516             43.2946             27.8423             0.608184            
2526                1.39275             32                  5.56776             44.651              28.5777             0.120671            
2527                1.39891             30                  5.38516             46.0625             29.3428             -0.176674           
2528                1.40507             29                  5.2915              47.5322             30.139              -0.305107           
2529                1.41124             29                  5.2915              49.0639             30.967              -0.771409           
2530                1.4174              27                  5.09902             50.6618             31.8292             -0.260468           
2531                1.42356             31                  5.47723             52.3306             32.7263             -0.559973           
2532                1.42972             30                  5.38516             54.0759             33.6611             -1.21966            
2533                1.43589             27                  5.09902             55.9039             34.6354             0.382715            
2534                1.44205             38                  6.08276             57.8218             35.6512             1.10289             
2535                1.44821             44                  6.55744             59.838              36.7121             -1.36799            
2536                1.45437             29                  5.2915              61.962              37.8194             -0.878826           
2537                1.46054             33                  5.65685             64.2048             38.9783             -1.057              
2538                1.4667              33                  5.65685             66.5791             40.1903             -0.625163           
2539                1.47286             37                  6                   69.0996             41.4621             -1.44047            
2540                1.47902             33                  5.65685             71.7831             42.7989             -1.0092             
2541                1.48519             37                  6                   74.6489             44.2032             -0.628409           
2542                1.49135             41                  6.32456             77.7193             45.6849             -0.0312664          
2543                1.49751             47                  6.78233             81.0199             47.2471             -0.916451           
2544                1.50367             42                  6.40312             84.58               48.9029             -0.333394           
2545                1.50984             48                  6.85565             88.4331             50.6593             -1.69805            
2546                1.516               40                  6.245               92.6176             52.527              0.584622            
2547                1.52216             59                  7.61577             97.1772             54.5222             1.49022             
2548                1.52832             69                  8.24621             102.162             56.6514             -0.713396           
2549                1.53449             53                  7.2111              107.628             58.9397             -1.00833            
2550                1.54065             53                  7.2111              113.64              61.3953             -0.460814           
2551                1.54681             60                  7.68115             120.271             64.0501             -0.323981           
2552                1.55298             64                  7.93725             127.603             66.9293             -1.9116             
2553                1.55914             54                  7.28011             135.728             70.0457             -0.151878           
2554                1.5653              72                  8.42615             144.751             73.4466             -2.61747            
2555                1.57146             55                  7.34847             154.788             77.1469             0.305299            
2556                1.57763             84                  9.11043             165.97              81.2075             -0.464548           
2557                1.58379             81                  8.94427             178.444             85.6627             -0.148876           
2558                1.58995             89                  9.38083             192.372             90.5586             -1.38421            
2559                1.59611             82                  9                   207.935             95.9697             -0.933804           
2560                1.60228             92                  9.53939             225.333             101.923             0.14729             
2561                1.60844             110                 10.4403             244.788             108.527             -0.717045           
2562                1.6146              108                 10.3441             266.544             115.819             -0.166586           
2563                1.62076             122                 11                  290.87              123.925             -0.680062           
2564                1.62693             125                 11.1355             318.061             132.951             0.0919197           
2565                1.63309             144                 11.9583             348.438             142.942             -2.20573            
